text,category,opinion
الأكل كان لذيذ جدا,Food Quality,positive
الطعام شهي وطازج,Food Quality,positive
طعم الوجبة ممتاز,Food Quality,positive
الأكل كان رائع اليوم,Food Quality,positive
الطعام عادي,Food Quality,neutral
مذاق الأكل مقبول,Food Quality,neutral
الوجبة كانت عادية,Food Quality,neutral
الطعم لا بأس به,Food Quality,neutral
الأكل كان سيئا,Food Quality,negative
الطعام بارد وغير جيد,Food Quality,negative
طعم الوجبة غير مستساغ,Food Quality,negative
الأكل غير طازج,Food Quality,negative
المكان نظيف جدا,Cleanliness,positive
المطعم مرتب ونظيف,Cleanliness,positive
الطاولات كانت نظيفة,Cleanliness,positive
النظافة ممتازة في المكان,Cleanliness,positive
النظافة عادية,Cleanliness,neutral
المكان مقبول من ناحية النظافة,Cleanliness,neutral
المطعم نظيف بشكل متوسط,Cleanliness,neutral
وضع النظافة لا بأس به,Cleanliness,neutral
الطاولات كانت متسخة,Cleanliness,negative
المكان غير نظيف,Cleanliness,negative
المطعم كان متسخا,Cleanliness,negative
النظافة سيئة جدا,Cleanliness,negative
الموظفون محترمون,Staff Behavior,positive
تعامل العاملين ممتاز,Staff Behavior,positive
الخدمة كانت ودودة,Staff Behavior,positive
الموظف كان متعاونا جدا,Staff Behavior,positive
تعامل الموظفين عادي,Staff Behavior,neutral
الخدمة كانت عادية,Staff Behavior,neutral
الموظف كان مقبولا,Staff Behavior,neutral
أسلوب العاملين لا بأس به,Staff Behavior,neutral
الموظفون غير محترمين,Staff Behavior,negative
تعامل العاملين سيئ,Staff Behavior,negative
الخدمة كانت مزعجة,Staff Behavior,negative
الموظف كان وقحا,Staff Behavior,negative
الأسعار مناسبة,Price,positive
السعر جيد مقابل الوجبة,Price,positive
الأسعار معقولة,Price,positive
قيمة الوجبة ممتازة مقابل السعر,Price,positive
الأسعار مقبولة,Price,neutral
السعر عادي,Price,neutral
الأسعار متوسطة,Price,neutral
السعر لا بأس به,Price,neutral
الأسعار مرتفعة جدا,Price,negative
السعر مبالغ فيه,Price,negative
الوجبة غالية مقارنة بحجمها,Price,negative
الأسعار غير مناسبة,Price,negative
الأكل كان لذيذا جدا,Food Quality,positive
الطعام شهي وطازج,Food Quality,positive
طعم الوجبة ممتاز,Food Quality,positive
الأكل اليوم رائع,Food Quality,positive
الطبق طعمه جميل,Food Quality,positive
الوجبة كانت شهية,Food Quality,positive
المذاق ممتاز جدا,Food Quality,positive
الأكل طعمه مضبوط,Food Quality,positive
الطعام لذيذ ومتوازن,Food Quality,positive
الساندويتش كان شهي,Food Quality,positive
الطبق طازج ولذيذ,Food Quality,positive
نكهة الأكل ممتازة,Food Quality,positive
الوجبة أعجبتني جدا,Food Quality,positive
الطعام جودته عالية,Food Quality,positive
الطبق كان ممتاز الطعم,Food Quality,positive
الأكل مره لذيذ,Food Quality,positive
الطعم رائع بشكل واضح,Food Quality,positive
الوجبة كانت ممتازة جدا,Food Quality,positive
الأكل جاء ساخنا ولذيذا,Food Quality,positive
الطعام كان نظيفا ولذيذا,Food Quality,positive
الأكل كان عاديا,Food Quality,neutral
الطعام مقبول,Food Quality,neutral
طعم الوجبة لا بأس به,Food Quality,neutral
الأكل متوسط,Food Quality,neutral
المذاق عادي,Food Quality,neutral
الوجبة كانت مقبولة,Food Quality,neutral
الطعم ليس سيئا وليس ممتازا,Food Quality,neutral
الأكل مقبول إلى حد ما,Food Quality,neutral
الطبق عادي جدا,Food Quality,neutral
الوجبة متوسطة الطعم,Food Quality,neutral
الطعام لا بأس به,Food Quality,neutral
المذاق متوسط,Food Quality,neutral
الأكل عادي اليوم,Food Quality,neutral
الطبق مقبول,Food Quality,neutral
الطعام بطعم عادي,Food Quality,neutral
الوجبة ليست مميزة,Food Quality,neutral
الأكل على قد المستوى,Food Quality,neutral
الطعم متوسط جدا,Food Quality,neutral
الوجبة لا تقدم شيئا مميزا,Food Quality,neutral
الطعام في المستوى المتوسط,Food Quality,neutral
الأكل كان سيئا,Food Quality,negative
الطعام بارد وغير جيد,Food Quality,negative
طعم الوجبة غير مستساغ,Food Quality,negative
الأكل غير طازج,Food Quality,negative
الطبق طعمه سيئ,Food Quality,negative
الوجبة كانت سيئة جدا,Food Quality,negative
المذاق مزعج,Food Quality,negative
الأكل محروق,Food Quality,negative
الطعام مالح زيادة,Food Quality,negative
الوجبة بدون نكهة,Food Quality,negative
الطعم رديء,Food Quality,negative
الأكل جاء باردا,Food Quality,negative
جودة الطعام ضعيفة,Food Quality,negative
الطبق غير لذيذ إطلاقا,Food Quality,negative
الأكل مو زين,Food Quality,negative
النكهة سيئة جدا,Food Quality,negative
الوجبة غير مقبولة,Food Quality,negative
الأكل طعمه غريب وسيئ,Food Quality,negative
الطعام قديم وغير طازج,Food Quality,negative
الوجبة كانت مخيبة جدا,Food Quality,negative
المكان نظيف جدا,Cleanliness,positive
المطعم مرتب ونظيف,Cleanliness,positive
الطاولات كانت نظيفة,Cleanliness,positive
النظافة ممتازة في المكان,Cleanliness,positive
الأرضية نظيفة,Cleanliness,positive
الصالة مرتبة جدا,Cleanliness,positive
المكان واضح أنه نظيف,Cleanliness,positive
المطعم لامع ومرتب,Cleanliness,positive
النظافة عالية جدا,Cleanliness,positive
الحمام كان نظيفا,Cleanliness,positive
المكان مرتب بشكل ممتاز,Cleanliness,positive
الكراسي والطاولات نظيفة,Cleanliness,positive
المطعم محافظ على النظافة,Cleanliness,positive
الصالة نظيفة ومريحة,Cleanliness,positive
المكان نظيف ومرتب,Cleanliness,positive
النظافة ممتازة جدا,Cleanliness,positive
الطاولات تلمع من النظافة,Cleanliness,positive
المطعم نظيف مره,Cleanliness,positive
المكان خال من الأوساخ,Cleanliness,positive
المحل مرتب ونظيف,Cleanliness,positive
النظافة عادية,Cleanliness,neutral
المكان مقبول من ناحية النظافة,Cleanliness,neutral
المطعم نظيف بشكل متوسط,Cleanliness,neutral
وضع النظافة لا بأس به,Cleanliness,neutral
النظافة مقبولة,Cleanliness,neutral
المكان ليس متسخا وليس نظيفا جدا,Cleanliness,neutral
النظافة متوسطة,Cleanliness,neutral
